Linux 6.8.0-101-generic (node2.xytuang-299835.e6897-pg0.utah.cloudlab.us) 	04/19/26 	_x86_64_	(56 CPU)

13:19:45        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
13:19:46           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:19:46    enp23s0f0np0     13.00     11.00      1.49      1.17      0.00      0.00      0.00      0.00
13:19:46    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:19:46    eno12399np0    347.00     65.00     28.16      8.20      0.00      0.00      3.00      0.00
13:19:46    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:19:46        tunl0     13.00     11.00      1.06      0.81      0.00      0.00      0.00      0.00
13:19:46    califa14f7c081d      6.00      7.00      0.91      1.61      0.00      0.00      0.00      0.00
13:19:46    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:19:46    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:19:46    calidf3b84ec6b9     12.00     13.00      2.56      5.16      0.00      0.00      0.00      0.00
13:19:46    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:19:46    califd5a1e52d7f     10.00     12.00      0.90      1.17      0.00      0.00      0.00      0.00

13:19:46        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
13:19:47           lo     10.00     10.00      1.31      1.31      0.00      0.00      0.00      0.00
13:19:47    enp23s0f0np0     32.00     18.00      7.60      3.78      0.00      0.00      0.00      0.00
13:19:47    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:19:47    eno12399np0    430.00     62.00     28.01      7.41      0.00      0.00      0.00      0.00
13:19:47    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:19:47        tunl0     30.00     15.00      6.28      3.07      0.00      0.00      0.00      0.00
13:19:47    califa14f7c081d      2.00      2.00      0.12      0.70      0.00      0.00      0.00      0.00
13:19:47    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:19:47    cali707a268ff9b     13.00     12.00      2.56      4.95      0.00      0.00      0.00      0.00
13:19:47    calidf3b84ec6b9      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:19:47    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
