Linux 6.8.0-101-generic (node2.xytuang-299835.e6897-pg0.utah.cloudlab.us) 	04/19/26 	_x86_64_	(56 CPU)

10:35:17        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
10:35:18           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:35:18    enp23s0f0np0     14.00     10.00      1.50      1.03      0.00      0.00      1.00      0.00
10:35:18    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:35:18    eno12399np0    467.00    107.00     40.76     10.87      0.00      0.00      2.00      0.00
10:35:18    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:35:18        tunl0     14.00     10.00      1.03      0.70      0.00      0.00      0.00      0.00
10:35:18    califa14f7c081d      5.00      4.00      0.82      0.82      0.00      0.00      0.00      0.00
10:35:18    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:35:18    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:35:18    calidf3b84ec6b9      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:35:18    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:35:18    cali63e5c534e8f      9.00     13.00      0.79      1.15      0.00      0.00      0.00      0.00

10:35:18        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
10:35:19           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:35:19    enp23s0f0np0     18.00     11.00      1.88      1.15      0.00      0.00      0.00      0.00
10:35:19    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:35:19    eno12399np0    322.00     39.00     34.99      5.11      0.00      0.00      0.00      0.00
10:35:19    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
