Linux 6.8.0-101-generic (node2.xytuang-299835.e6897-pg0.utah.cloudlab.us) 	04/19/26 	_x86_64_	(56 CPU)

09:47:27        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
09:47:28           lo     10.00     10.00      1.31      1.31      0.00      0.00      0.00      0.00
09:47:28    enp23s0f0np0     11.00      7.00      1.21      0.77      0.00      0.00      0.00      0.00
09:47:28    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:47:28    eno12399np0    374.00     89.00     26.47      9.23      0.00      0.00      0.00      0.00
09:47:28    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:47:28        tunl0     11.00      7.00      0.85      0.53      0.00      0.00      0.00      0.00
09:47:28    califa14f7c081d      5.00      4.00      0.82      0.82      0.00      0.00      0.00      0.00
09:47:28    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:47:28    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:47:28    calidf3b84ec6b9      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:47:28    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:47:28    cali63f99c2607b      6.00     10.00      0.58      0.93      0.00      0.00      0.00      0.00

09:47:28        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
09:47:29           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:47:29    enp23s0f0np0     11.00      7.00      1.22      0.77      0.00      0.00      0.00      0.00
09:47:29    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:47:29    eno12399np0    327.00     22.00     25.18      3.66      0.00      0.00      2.00      0.00
09:47:29    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:47:29        tunl0     11.00      7.00      0.86      0.53      0.00      0.00      0.00      0.00
09:47:29    califa14f7c081d      2.00      2.00      0.12      0.73      0.00      0.00      0.00      0.00
09:47:29    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
