Linux 6.8.0-101-generic (node2.xytuang-299835.e6897-pg0.utah.cloudlab.us) 	04/19/26 	_x86_64_	(56 CPU)

10:09:07        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
10:09:08           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:08    enp23s0f0np0     39.00     25.00      4.04      4.51      0.00      0.00      0.00      0.00
10:09:08    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:08    eno12399np0    252.00     81.00     23.43      9.83      0.00      0.00      0.00      0.00
10:09:08    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:08        tunl0     39.00     24.00      2.75      3.63      0.00      0.00      0.00      0.00
10:09:08    califa14f7c081d      5.00      7.00      0.85      1.61      0.00      0.00      0.00      0.00
10:09:08    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:08    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:08    calidf3b84ec6b9     12.00     12.00      2.56      5.13      0.00      0.00      0.00      0.00
10:09:08    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:08    cali70c1a606868     23.00     38.00      3.91      3.21      0.00      0.00      0.00      0.00

10:09:08        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
10:09:09           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:09    enp23s0f0np0     12.00      8.00      1.38      0.83      0.00      0.00      0.00      0.00
10:09:09    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:09    eno12399np0    423.00     16.00     25.76      1.55      0.00      0.00      2.00      0.00
10:09:09    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:09        tunl0     11.00      7.00      0.86      0.53      0.00      0.00      0.00      0.00
10:09:09    califa14f7c081d      6.00      6.00      0.55      0.51      0.00      0.00      0.00      0.00
10:09:09    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:09    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:09    calidf3b84ec6b9      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:09    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:09    cali70c1a606868      6.00     10.00      0.58      0.93      0.00      0.00      0.00      0.00

10:09:09        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
10:09:10           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:10    enp23s0f0np0     12.00      8.00      1.30      0.85      0.00      0.00      0.00      0.00
10:09:10    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:10    eno12399np0    191.00     17.00     16.79      3.38      0.00      0.00      0.00      0.00
10:09:10    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:10        tunl0     12.00      8.00      0.91      0.58      0.00      0.00      0.00      0.00
10:09:10    califa14f7c081d      6.00      5.00      0.88      1.48      0.00      0.00      0.00      0.00
10:09:10    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:10    cali707a268ff9b      1.00      1.00      0.04      0.04      0.00      0.00      0.00      0.00
10:09:10    calidf3b84ec6b9     12.00     13.00      2.56      5.19      0.00      0.00      0.00      0.00
10:09:10    cali0a62d08c15c      5.00      5.00      0.42      0.44      0.00      0.00      0.00      0.00
10:09:10    cali70c1a606868      7.00     11.00      0.64      1.00      0.00      0.00      0.00      0.00

10:09:10        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
10:09:11           lo     10.00     10.00      1.31      1.31      0.00      0.00      0.00      0.00
10:09:11    enp23s0f0np0     25.00     22.00      3.35      4.70      0.00      0.00      0.00      0.00
10:09:11    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:11    eno12399np0    259.00      4.00     15.52      0.54      0.00      0.00      0.00      0.00
10:09:11    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:11        tunl0     20.00     15.00      1.65      3.06      0.00      0.00      0.00      0.00
10:09:11    califa14f7c081d      6.00      6.00      0.55      0.51      0.00      0.00      0.00      0.00
10:09:11    calie519df70ce6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:11    cali707a268ff9b      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:11    calidf3b84ec6b9      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:11    cali0a62d08c15c      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:11    cali70c1a606868     14.00     19.00      3.21      1.85      0.00      0.00      0.00      0.00

10:09:11        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
10:09:12           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:12    enp23s0f0np0     14.00     11.00      1.58      1.10      0.00      0.00      0.00      0.00
10:09:12    enp23s0f1np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:12    eno12399np0    104.00     21.00     11.71      3.67      0.00      0.00      2.00      0.00
10:09:12    eno12409np1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
10:09:12        tunl0     13.00     10.00      0.97      0.70      0.00      0.00      0.00      0.00
10:09:12    califa14f7c081d      6.00      5.00      0.88      1.48      0.00      0.00      0.00      0.00
